"Human Gene Name","Basal Body","Transition Zone","Cilia"
"INPP5E",0,0,1
"INTU",1,0,0
"INVS",0,0,1
"IPO5",0,0,1
"IQCB1",0,1,0
"KATNAL2",1,0,1
"KIAA0586",1,0,0
"KIAA1377",0,0,1
"KIF17",0,0,1
"KIF19",0,0,1
"KIF24",1,0,0
"KIF27",0,0,1
"KIF3A",0,0,1
"KIF3B",1,0,1
"KIF5B",1,0,0
"KIF7",0,0,1
"KIF9",0,0,1
"KIFAP3",0,0,1
"KLC3",1,0,0
"KLF2",0,0,1
"KNCN",0,0,1
"LAMA5",0,0,1
"LCA5",0,0,1
"LF4A",1,0,1
"LKB1",0,0,1
"LRBA",0,0,1
"LRP2BP",0,0,1
"LRRC23",0,0,1
"LRRC34",0,0,1
"LRRC46",0,0,1
"LRRC48",0,0,1
"LRRC6",0,0,1
"LUZP1",1,0,0
"LZTFL1",0,0,1
"MAGI2",0,0,1
"MAK",0,0,1
"MAP4",0,0,1
"MAP9",0,1,0
"MAPRE3",0,0,1
"MARK4",1,0,0
"MC4R",0,0,1
"MCHR1",0,0,1
"MDM1",0,0,1
"MKKS",1,0,0
"MKS1",1,1,0
"MLF1",0,0,1
"MNS1",0,0,1
"MOK",0,0,1
"MYO15A",0,0,1
"MYO5A",0,0,1
"MYO7A",0,1,1
"MYOC",1,0,0
"NBEA",0,0,1
"NDE1",1,0,0
"NEDD1",1,0,0
"NEK1",1,0,0
"NEK2",1,0,0
"NEK4",1,0,0
"NEK8",0,0,1
"NGFR",0,0,1
"NINL",1,0,0
"NME7",1,0,0
"NME8",0,0,1
"NOTCH1",1,0,1
"NPHP1",0,1,0
"NPHP3",1,0,1
"NPHP4",0,1,0
"NPY2R",0,0,1
"NUBP1",1,0,0
"NUBP2",1,0,0
"NUDC",0,0,1
"NUP214",0,1,0
"NUP35",0,1,0
"NUP37",0,1,0
"NUP62",0,1,0
"NUP93",0,1,0
"OCRL",1,1,0
"ODF1",0,0,1
"ODF2",1,0,0
"OFD1",1,1,0
"OPN3",0,0,1
"OSCP1",0,0,1
"OXCT2",0,0,1
"PACRG",0,0,1
"PAFAH1B1",0,0,1
"PAM",0,0,1
"PARD3",0,0,1
"PARD6A",0,0,1
"PCARE",1,0,0
"PCDH15",0,0,1
"PCDP1",0,0,1
"PCNT",0,1,1
"PDC",0,0,1
"PDE1C",0,0,1
"PDE4C",0,0,1
"PDE6D",1,0,0
"PDZD7",0,0,1
"PEX6",0,0,1
"PHF17",1,0,0
"PIK3C3",0,1,0
"PIK3R4",0,0,1
"PIN1",0,0,1
"PKD1",0,0,1
"PKD1L1",0,0,1
"PKD2",0,0,1
"PKD2L1",0,0,1
"PKHD1",1,0,1
"PKHD1L1",0,0,1
"PLCB4",0,0,1
"PLK1",0,1,0
"POC1B",1,0,0
"POR",0,0,1
"PPP5C",1,0,0
"PRKACA",0,0,1
"PRKAR1A",0,0,1
"PROM1",0,0,1
"PROM2",0,0,1
"PRPH2",0,0,1
"PSEN1",0,0,1
"PSEN2",1,0,0
"PTCH1",0,0,1
"PTH1R",0,0,1
"PTPN23",1,0,0
"RAB10",0,0,1
"RAB11A",0,1,0
"RAB23",0,0,1
"RAB27A",0,0,1
"RAB28",1,0,1
"Rab34",0,0,1
"RAB35",0,0,1
"RAB7",0,0,1
"RAB8A",0,0,1
"RABL2A",1,0,0
"RABL2B",1,0,0
"RALGAPA1",0,0,1
"RANBP1",1,0,0
"RHO",0,0,0
"RIBC2",0,0,1
"RILPL1",0,0,1
"RILPL2",0,0,1
"ROM1",0,0,1
"ROPN1L",0,0,1
"RP1",0,0,1
"RP11-77K12.7",0,0,0
"RP2",1,0,0
"RPGR",1,1,1
"RPGRIP1",1,0,0
"RPGRIP1L",0,1,0
"RRP7A",0,0,1
"RSG1",0,1,0
"RSPH1",0,0,1
"RSPH10B",0,0,1
"RSPH10B2",0,0,1
"RSPH3",0,0,1
"RSPH4A",0,0,1
"RSPH9",0,0,1
"RTDR1",0,0,1
"RTTN",1,0,0
"SCAPER",1,0,1
"SCNN1A",0,0,1
"SDCCAG8",1,1,0
"Sep-02",0,1,1
"Sep-04",0,0,1
"Sep-06",0,0,1
"Sep-07",1,0,1
"Sep-09",0,0,1
"SHANK2",0,0,1
"SHH",0,0,1
"SLC47A2",0,0,1
"SMO",0,0,1
"SNAP25",0,1,1
"SNAP29",0,0,1
"SNTN",0,0,1
"SNX10",0,0,1
"SPA17",0,0,1
"SPAG16",0,0,1
"SPAG4",0,0,1
"SPAG6",0,0,1
"SPATA7",0,0,1
"SPEF1",0,0,1
"SPTBN5",0,0,1
"SRGAP3",0,0,1
"SSNA1",1,0,0
"SSTR3",0,0,1
"SSX2IP",1,0,0
"STK36",0,0,1
"STOML3",0,0,1
"STRC",0,0,1
"SUFU",0,0,1
"SYNE1",0,0,1
"TAPT1",1,0,0
"TAS2R4",0,0,1
"TAS2R43",0,0,1
"TAS2R46",0,0,1
"TBC1D31",1,0,0
"TCTEX1D2",1,0,0
"TCTEX1D4",0,0,1
"TCTN1",0,1,0
"TCTN2",0,1,0
"TCTN3",0,1,0
"TEKT1",1,0,1
"TEKT2",1,0,0
"TEKT3",0,0,1
"TEKT4",0,0,1
"TEKT5",0,0,1
"TEX9",0,0,1
"TMEM107",0,1,0
"TMEM138",1,0,1
"TMEM17",0,1,0
"TMEM216",1,0,1
"TMEM218",0,1,0
"TMEM231",1,1,0
"TMEM237",0,1,0
"TMEM67",0,1,0
"TMEM80",0,1,0
"TNPO1",0,0,1
"TOPORS",1,0,0
"TPPP3",0,0,1
"TRAF3IP1",0,1,1
"TRPV4",0,0,1
"TSGA10",1,0,0
"TTBK2",0,1,0
"TTC18",0,0,1
"TTC21B",0,0,0
"TTC25",1,0,1
"TTC26",0,1,0
"TTC29",0,0,1
"TTC8",1,0,0
"TTLL1",1,0,0
"TTLL11",1,0,0
"TTLL3",0,0,1
"TTLL4",0,0,1
"TTLL5",1,0,0
"TTLL6",1,0,1
"TTLL7",1,0,1
"TTLL9",1,0,0
"TUBA4A",0,0,1
"TUBB3",0,0,1
"TUBE1",1,0,0
"TUBG1",1,0,0
"TUBGCP2",1,0,0
"TUBGCP3",1,0,0
"TUBGCP4",1,0,0
"TULP1",0,0,1
"TULP3",0,0,1
"UBXN10",0,0,1
"UMOD",0,0,1
"UNC119B",0,0,1
"USH1G",1,1,0
"USH2A",1,0,0
"VANGL2",0,0,1
"VDAC1",1,0,0
"VHL",0,0,1
"VPS35",0,0,1
"WASF3",1,0,0
"WDPCP",0,1,0
"WDR11",0,0,1
"WDR16",1,0,0
"WDR19",0,0,1
"WDR31",0,0,1
"WDR34",0,0,1
"WDR35",1,1,1
"WDR5",0,0,1
"WDR60",0,0,1
"WDR78",0,0,1
"ZMYND10",1,0,1
