"Ciliopathy","Abbreviation","OMIM Phenotype Number","Disease/Gene Reference","Human Gene ID","Human Gene Name","Gene MIM Number","Subcellular Localization","Localisation Reference","Synonym"
"Bardet–Biedl Syndrome","BBS2","615981","19252258",583,"BBS2","606151","Cilia, Basal Body","18299575","BBS2;BBS2;ENSG00000125124; BBS; RP74"
"Bardet–Biedl Syndrome","BBS3","600151","15314642",84100,"ARL6","608845","Basal Body, Transition Zone","15314642","ARL6;ARL6;ENSG00000113966; BBS3; RP55"
"Bardet–Biedl Syndrome","BBS4","615982","12016587, 15654695",585,"BBS4","600374","Cilia, Basal Body","15107855, 17574030",NA
"Bardet–Biedl Syndrome","BBS5","615983","25982971",129880,"BBS5","603650","Cilia, Basal Body","15137946, 32759308",NA
"Bardet–Biedl Syndrome","BBS6","605231","10973238",8195,"MKKS","604896","Basal Body","19396898","MKKS;MKKS;ENSG00000125863; KMS; MKS; BBS6; HMCS"
"Bardet–Biedl Syndrome","BBS7","615984","12567324",55212,"BBS7","607590","Cilia, Basal Body","22302990","BBS7;BBS7;ENSG00000138686; BBS2L1"
"Bardet–Biedl Syndrome","BBS8","615985","14520415",123016,"TTC8","608132","Basal Body","14520415","TTC8;TTC8;ENSG00000165533; BBS8; RP51"
"Bardet–Biedl Syndrome","BBS9","615986","16380913, 33771153",27241,"BBS9","607968","Cilia","32759308","BBS9;BBS9;ENSG00000122507; B1; D1; C18; PTHB1"
"Bardet–Biedl Syndrome","BBS10","615987","16582908",79738,"BBS10","610148","Basal Body","19190184","BBS10;BBS10;ENSG00000179941; C12orf58"
"Bardet–Biedl Syndrome","BBS11","615988","16606853",22954,"TRIM32","602290","Intermediate filaments","25613900","TRIM32;TRIM32;ENSG00000119401; HT2A; BBS11; TATIP; LGMD2H; LGMDR8"
"Bardet–Biedl Syndrome","BBS12","615989","17160889, 19797195",166379,"BBS12","610683","Basal Body","19190184","BBS12;BBS12;ENSG00000181004; C4orf24"
"Bardet–Biedl Syndrome","BBS13","615990","18327255, 10.1371/journal.pone.0090599",54903,"MKS1","609883","Basal Body, Transition Zone","17185389, 18337471","MKS1;MKS1;ENSG00000011143; MES; MKS; BBS13; POC12; JBTS28"
"Bardet–Biedl Syndrome","BBS14","615991","18327255",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Bardet–Biedl Syndrome","BBS15","615992","20671153",51057,"WDPCP","613580","Transition Zone","24302887","WDPCP;WDPCP;ENSG00000143951; FRTZ; BBS15; FRITZ; CHDTHP; C2orf86; CPLANE5"
"Bardet–Biedl Syndrome","BBS16","615993","22190896, 22626039",10806,"SDCCAG8","613524","Basal Body, Transition Zone","20835237","SDCCAG8;SDCCAG8;ENSG00000054282; BBS16; CCCAP; SLSN7; NPHP10; hCCCAP; HSPC085; NY-CO-8; CCCAP SLSN7"
"Bardet–Biedl Syndrome","BBS17","615994","22510444, 23692385",54585,"LZTFL1","606568","Cilia","27312011","LZTFL1;LZTFL1;ENSG00000163818; BBS17"
"Bardet–Biedl Syndrome","BBS18","615995","24026985",92482,"BBIP1","613605","Cilia","19081074, 24026985","BBIP1;BBIP1;ENSG00000214413; BBS18; BBIP10; bA348N5.3; NCRNA00081"
"Bardet–Biedl Syndrome","BBS19","615996","24488770",11020,"IFT27","615870","Basal Body","17276912","IFT27;IFT27;ENSG00000100360; RAYL; BBS19; RABL4; FAP156"
"Bardet–Biedl Syndrome","BBS20","619471","25168386",26160,"IFT172","607386","Cilia, Axoneme","15137945, 24140113","IFT172;IFT172;ENSG00000138002; SLB; wim; RP71; BBS20; osm-1; NPHP17; SRTD10"
"Bardet–Biedl Syndrome","BBS21","617406","27008867, 26854863",157657,"C8orf37","614477","Cilia","22177090","CFAP418;C8orf37;ENSG00000156172; RP64; BBS21; MOT25; CORD16; FAP418; C8orf37; smalltalk"
"Bardet–Biedl Syndrome","BBS22","617119","27486776",80173,"IFT74","608040","Cilia","15024030","IFT74;IFT74;ENSG00000096872; CMG1; BBS22; CCDC2; CMG-1; JBTS40; SPGF58"
"Bardet–Biedl Syndrome","BBS","No MIM Number","35112343",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Bardet–Biedl Syndrome","BBS","No MIM Number","32253632, 32055034",132320,"SCLT1","611399","Microtubules,Cytosol","25613900","SCLT1;SCLT1;ENSG00000151466; CAP1A; CAP-1A"
"Bazex-Dupré-Christol Syndrome","BZX","301845","33972689",139741,"ACTRT1","300487","Basal Body","33972689","ACTRT1;ACTRT1;ENSG00000123165; AIP1; ARIP1; ARPT1; HSD27"
"Biliary, Renal, Neurologic, and Skeletal Syndrome","BRENS","619534","34177428",79989,"TTC26","617453","Transition Zone","22718903","TTC26;TTC26;ENSG00000105948; BRENS; DYF13; IFT56; dyf-13"
"Birt-Hogg-Dubé Syndrome","BHD","135150","12204536, 23784378",201163,"FLCN","607273","Cilia","23784378","FLCN;FLCN;ENSG00000154803; BHD; FLCL; DENND8B"
"Caroli Disease","CD","600643","33685088",5314,"PKHD1","606702","Basal Body","14983006","PKHD1;PKHD1;ENSG00000170927; FPC; FCYT; PKD4; ARPKD; TIGM1"
"Carpenter Syndrome","CRPT1","201000","10.5336/medsci.2010-19822, 25168863",51715,"RAB23","606144","Cilia","26136363","RAB23;RAB23;ENSG00000112210; HSPC137"
"Carpenter Syndrome","CRPT2","614976","23063620",1954,"MEGF8","604267","Not reported",NA,"MEGF8;MEGF8;ENSG00000105429; SBP1; CRPT2; EGFL4; C19orf49"
"COACH Syndrome","COACH1","216360","19058225, 19574260",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"COACH Syndrome","COACH2","619111","19574260",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2"
"COACH Syndrome","COACH3","619113","19574260",23322,"RPGRIP1L","610937","Transition Zone","21565611","RPGRIP1L;RPGRIP1L;ENSG00000103494; FTM; MKS5; CORS3; JBTS7; NPHP8; COACH3; PPP1R134"
"COACH Syndrome","COACH","No MIM Number","33580824",5373,"PMM2","601785","Nucleoplasm,Cytosol","25613900","PMM2;PMM2;ENSG00000140650; PMI; CDG1; CDGS; PMI1; CDG1a; PMM 2"
"Complex Lethal Osteochondrodysplasia","OCLSBG","616897","26365339",202018,"TAPT1","612758","Basal Body","26365339","TAPT1;TAPT1;ENSG00000169762; CMVFR; OCLSBG"
"Cone-Rod Dystrophy","CORD2","120970","9390563",1406,"CRX","602225","Not reported",NA,"CRX;CRX;ENSG00000105392; CRD; LCA7; OTX3; CORD2"
"Cone-Rod Dystrophy","CORD3","604116","12037008",24,"ABCA4","601691","Cytosol","25613900","ABCA4;ABCA4;ENSG00000198691; FFM; RMP; ABCR; RP19; STGD; ABC10; ARMD2; CORD3; STGD1"
"Cone-Rod Dystrophy","CORD4","613093","19615668",5146,"PDE6C","600827","Cilia","25461672","PDE6C;PDE6C;ENSG00000095464; COD4; ACHM5; PDEA2"
"Cone-Rod Dystrophy","CORD5","600977","8586428, 17377520",83394,"PITPNM3","608921","Plasma membrane","25613900","PITPNM3;PITPNM3;ENSG00000091622; NIR1; ACKR6; CORD5; RDGBA3"
"Cone-Rod Dystrophy","CORD6","601777","10647719",3000,"GUCY2D","600179","Cilia","10.1101/2020.12.15.417840","GUCY2D;GUCY2D;ENSG00000132518; LCA; CG-E; CYGD; LCA1; RCD2; CACD1; CORD5; CORD6; GUC2D; ROSGC; retGC; CSNB1I; GUC1A4; RETGC-1; ROS-GC1"
"Cone-Rod Dystrophy","CORD7","603649","9634506, 12659814",22999,"RIMS1","606629","Not reported",NA,"RIMS1;RIMS1;ENSG00000079841; RIM; RIM1; CORD7; RAB3IP2"
"Cone-Rod Dystrophy","CORD9","612775","19409519",8754,"ADAM9","602713","Ciliary Membrane","24748648","ADAM9;ADAM9;ENSG00000168615; MCMP; MDC9; CORD9; Mltng"
"Cone-Rod Dystrophy","CORD10","610283","16199541",64218,"SEMA4A","607292","Not reported",NA,"SEMA4A;SEMA4A;ENSG00000196189; RP35; SEMB; SEMAB; CORD10"
"Cone-Rod Dystrophy","CORD11","610381","25789692",84839,"RAX2","610362","Nucleoplasm,Nuclear speckles,Cytosol","25613900","RAX2;RAX2;ENSG00000173976; QRX; ARMD6; RAXL1; CORD11"
"Cone-Rod Dystrophy","CORD12","612657","26702251",8842,"PROM1","604365","Not reported",NA,"PROM1;PROM1;ENSG00000007062; RP41; AC133; CD133; MCDR2; STGD4; CORD12; PROML1; MSTP061"
"Cone-Rod Dystrophy","CORD13","608194","12920076",57096,"RPGRIP1","605446","Basal Body","15772089","RPGRIP1;RPGRIP1;ENSG00000092200; LCA6; RGI1; RGRIP; CORD13; RPGRIP; RPGRIP1d"
"Cone-Rod Dystrophy","CORD14","602093","15953638, 15790869",2978,"GUCA1A","600364","Plasma membrane","25613900","GUCA1A;GUCA1A;ENSG00000048545; COD3; GCAP; GUCA; GCAP1; GUCA1; CORD14; C6orf131"
"Cone-Rod Dystrophy","CORD15","613660","20805371",92211,"CDHR1","609502","Cilia","33330480","CDHR1;CDHR1;ENSG00000148600; RP65; PRCAD; CORD15; PCDH21"
"Cone-Rod Dystrophy","CORD16","614500","22177090",157657,"C8orf37","614477","Cilia","22177090","CFAP418;C8orf37;ENSG00000156172; RP64; BBS21; MOT25; CORD16; FAP418; C8orf37; smalltalk"
"Cone-Rod Dystrophy","CORD18","615374","23746546",9364,"RAB28","612994","Cilia, Basal Body","23746546, 27930654","RAB28;RAB28;ENSG00000157869; CORD18"
"Cone-Rod Dystrophy","CORD19","615860","24791901",23093,"TTLL5","612268","Cilia","24791901","TTLL5;TTLL5;ENSG00000119685; STAMP; CORD19; KIAA0998"
"Cone-Rod Dystrophy","CORD20","615973","24945461",282809,"POC1B","614784","Basal Body","25044745","POC1B;POC1B;ENSG00000139323; PIX1; CORD20; TUWD12; WDR51B"
"Cone-Rod Dystrophy","CORD21","616502","25983245",128338,"DRAM2","613360","Golgi apparatus,Vesicles","25613900","DRAM2;DRAM2;ENSG00000156171; CORD21; PRO180; TMEM77; WWFQ154"
"Cone-Rod Dystrophy","CORD22","619531","33077892",83723,"TLCD3B","615175","Not reported",NA,"TLCD3B;TLCD3B;ENSG00000149926; CORD22; FAM57B; FP1188"
"Cone-Rod Dystrophy","CORDX1","304020","11875055, 11857109",6103,"RPGR","312610","Transition Zone, Basal Body, Axoneme","12766038, 16043481","RPGR;RPGR;ENSG00000156313; CRD; RP3; COD1; PCDX; RP15; XLRP3; orf15; CORDX1"
"Cone-Rod Dystrophy","CORDX3","300476","16505158",778,"CACNA1F","300110","Not reported",NA,"CACNA1F;CACNA1F;ENSG00000102001; JM8; OA2; AIED; COD3; COD4; JMC8; CORDX; CSNB2; CORDX3; CSNB2A; CSNBX2; Cav1.4; Cav1.4alpha1"
"Cone-Rod Dystrophy","CORD","No MIM Number","33124039",89891,"DYNC2I2","613363","Cilia","25205765","DYNC2I2;DYNC2I2;ENSG00000119333; DIC5; WDR34; FAP133; SRTD11; CFAP133; bA216B9.3"
"Congenital Heart Disease","HDCA","600001","22158542, 22962692",2627,"GATA6","601656","Nucleoplasm","25613900",NA
"Cornelia de Lange Syndrome","CDLS1","122470","15146185, 15146186",25836,"NIPBL","608667","Nucleoplasm,Vesicles,Cytosol","25613900","NIPBL;NIPBL;ENSG00000164190; CDLS; IDN3; Scc2; CDLS1; IDN3-B"
"Cornelia de Lange Syndrome","CDLS2","300590","16604071, 17273969",8243,"SMC1A","300040","Cilia","16043481","SMC1A;SMC1A;ENSG00000072501; SMC1; SMCB; CDLS2; DEE85; SB1.8; EIEE85; SMC1L1; DXS423E; SMC1alpha"
"Cornelia de Lange Syndrome","CDLS3","610759","17273969",9126,"SMC3","606062","Cilia","16043481","SMC3;SMC3;ENSG00000108055; BAM; BMH; HCAP; CDLS3; CSPG6; SMC3L1"
"Cornelia de Lange Syndrome","CDLS4","614701","22633399",5885,"RAD21","606462","Nucleoplasm","25613900","RAD21;RAD21;ENSG00000164754; MGS; HR21; MCD1; NXP1; SCC1; CDLS4; hHR21; HRAD21"
"Cornelia de Lange Syndrome","CDLS5","300882","22885700",55869,"HDAC8","300269","Not reported",NA,"HDAC8;HDAC8;ENSG00000147099; HD8; WTS; RPD3; CDA07; CDLS5; KDAC8; MRXS6; HDACL1"
"Cornelia de Lange Syndrome",NA,"No MIM Number","25652421",29123,"ANKRD11","611192","Nucleoplasm,Cytosol","25613900","ANKRD11;ANKRD11;ENSG00000167522; T13; LZ16; ANCO1; ANCO-1"
"Cornelia de Lange Syndrome",NA,NA,"31168063",23476,"BRD4","608749","Nucleoplasm","25613900","BRD4;BRD4;ENSG00000141867; CAP; MCAP; HUNK1; HUNKI"
"Cranioectodermal Dysplasia","CED1","218330","20493458",55764,"IFT122","606045","Cilia","15137945","IFT122;IFT122;ENSG00000163913; CED; SPG; CED1; FAP80; WDR10; WDR10p; WDR140"
"Cranioectodermal Dysplasia","CED2","613610","20817137",57539,"WDR35","613602","Transisiton Zone, Basal Body, Axoneme","15137945, 10.1016/j.mod.2009.06.702","WDR35;WDR35;ENSG00000118965; CED2; IFTA1; SRTD7; FAP118; IFT121"
"Cranioectodermal Dysplasia","CED3","614099","21378380",112752,"IFT43","614068","Basal Body","25243405","IFT43;IFT43;ENSG00000119650; CED3; RP81; SRTD18; C14orf179"
"Cranioectodermal Dysplasia","CED4","614378","22019273",57728,"WDR19","608151","Axoneme","22019273","WDR19;WDR19;ENSG00000157796; ATD5; CED4; DYF-2; FAP66; ORF26; Oseg6; PWDMP; SRTD5; IFT144; NPHP13; SPGF72"
"Cranioectodermal Dysplasia",NA,"No MIM Number","26880018",51098,"IFT52","617094","Basal Body","11676918","IFT52;IFT52;ENSG00000101052; NGD2; NGD5; CGI-53; C20orf9"
"Cranioectodermal Dysplasia",NA,"No MIM Number","28288023",9742,"IFT140","614620","Transition Zone, Axoneme","23141541","IFT140;IFT140;ENSG00000187535; RP80; MZSDS; SRTD9; WDTC2; gs114; c305C8.4; c380F5.1"
"Ellis-van Creveld Syndrome","EVC","225500","17024374, 23220543",2121,"EVC","604831","Cilia, Basal Body","21356043","EVC;EVC;ENSG00000072840; EVC1; EVCL; DWF-1"
"Ellis-van Creveld Syndrome","EVC","225500","12468274, 17024374, 23220543",132884,"EVC2","607261","Cilia, Basal Body","21356043","EVC2;EVC2;ENSG00000173040; LBN; WAD"
"Greig Cephalopolysyndactyly Syndrome","GCPS","175700","9302279",2737,"GLI3","165240","Cilia","16254602","GLI3;GLI3;ENSG00000106571; PHS; ACLS; GCPS; PAPA; PAPB; PAP-A; PAPA1; PPDIV; GLI3FL; GLI3-190"
"Holoprosencephaly","HPE2","157170","10369266, 17001667",6496,"SIX3","603714","Nucleoplasm","25613900","SIX3;SIX3;ENSG00000138083; HPE2"
"Holoprosencephaly","HPE3","142945","8896572, 11479728, 11941477",6469,"SHH","600725","Cilia","17641202","SHH;SHH;ENSG00000164690; TPT; HHG1; HLP3; HPE3; SMMCI; ShhNC; TPTPS; MCOPCB5"
"Holoprosencephaly","HPE4","142946","10835638, 16323008",7050,"TGIF1","602630","Nucleoplasm","25613900","TGIF1;TGIF1;ENSG00000177426; HPE4; TGIF"
"Holoprosencephaly","HPE5","609637","9771712",7546,"ZIC2","603073","Nuclear bodies","25613900","ZIC2;ZIC2;ENSG00000043355; HPE5"
"Holoprosencephaly","HPE7","610828","11941477, 17001668",5727,"PTCH1","601309","Cilia","17641202","PTCH1;PTCH1;ENSG00000185920; PTC; BCNS; PTC1; PTCH; NBCCS"
"Holoprosencephaly","HPE9","610829","14581620",2736,"GLI2","165230","Cilia","16254602","GLI2;GLI2;ENSG00000074047; CJS; HPE9; PHS2; THP1; THP2"
"Holoprosencephaly","HPE11","614226","21802063",50937,"CDON","608707","Not reported",NA,"CDON;CDON;ENSG00000064309; CDO; Ihog; CDON1; HPE11; ORCAM"
"Holoprosencephaly","HPE12","618500","31006513",23019,"CNOT1","604917","Cytosol","25613900","CNOT1;CNOT1;ENSG00000125107; NOT1; CDC39; HPE12; NOT1H; VIBOS; AD-005"
"Holoprosencephaly","HPE13","301043","31334757",10735,"STAG2","300826","Nucleoplasm,Nucleoli,Nucleoli fibrillar center","25613900","STAG2;STAG2;ENSG00000101972; SA2; MKMS; SA-2; HPE13; SCC3B; NEDXCF; bA517O1.1"
"Hydrolethalus Syndrome","HLS1","236680","15843405",219844,"HYLS1","610693","Basal Body","32509774","HYLS1;HYLS1;ENSG00000198331; HLS"
"Hydrolethalus Syndrome","HLS2","614120","21552264",374654,"KIF7","611254","Cilia, Axoneme","19666503, 19592253","KIF7;KIF7;ENSG00000166813; ACLS; AGBK; HLS2; JBTS12; UNQ340"
"Joubert Syndrome","JBTS1","213300","19668216, 23386033",56623,"INPP5E","613037","Cilia, Axoneme","19668216, 19668216","INPP5E;INPP5E;ENSG00000148384; CPD4; CORS1; JBTS1; MORMS; PPI5PIV; pharbin"
"Joubert Syndrome","JBTS2","608091","20036350",51259,"TMEM216","613277","Cilia, Basal Body","20512146","TMEM216;TMEM216;ENSG00000187049; HSPC244"
"Joubert Syndrome","JBTS3","608629","15786477",54806,"AHI1","608894","Transition Zone, Axoneme","20592197","AHI1;AHI1;ENSG00000135541; ORF1; AHI-1; JBTS3; dJ71N10.1"
"Joubert Syndrome","JBTS4","609583","15138899",4867,"NPHP1","607100","Transition Zone","21565611","NPHP1;NPHP1;ENSG00000144061; NPH1; JBTS4; SLSN1"
"Joubert Syndrome","JBTS5","610188","16682970",80184,"CEP290","610142","Transition Zone","25859007","CEP290;CEP290;ENSG00000198707; CT87; MKS4; POC3; rd16; BBS14; JBTS5; LCA10; NPHP6; SLSN6; 3H11Ag"
"Joubert Syndrome","JBTS6","610688","17160906",91147,"TMEM67","609884","Transition Zone","21725307","TMEM67;TMEM67;ENSG00000164953; MKS3; JBTS6; NPHP11; TNEM67; MECKELIN"
"Joubert Syndrome","JBTS7","611560","17558409",23322,"RPGRIP1L","610937","Transition Zone","21565611","RPGRIP1L;RPGRIP1L;ENSG00000103494; FTM; MKS5; CORS3; JBTS7; NPHP8; COACH3; PPP1R134"
"Joubert Syndrome","JBTS8","612291","18674751, 25138100",200894,"ARL13B","608922","Ciliary Membrane","20231383","ARL13B;ARL13B;ENSG00000169379; JBTS8; ARL2L1"
"Joubert Syndrome","JBTS9","612285","22241855",57545,"CC2D2A","612013","Basal Body, Transition Zone","18950740, 22179047","CC2D2A;CC2D2A;ENSG00000048342; MKS6; RP93; JBTS9; COACH2"
"Joubert Syndrome","JBTS10","300804","19800048",8481,"OFD1","300170","Basal Body, Transition Zone","15466260, 26068394","OFD1;OFD1;ENSG00000046651; RP23; 71-7A; SGBS2; CXorf5; JBTS10"
"Joubert Syndrome","JBTS11","613820","21258341",79809,"TTC21B","612014","Cilia","24876116","TTC21B;TTC21B;ENSG00000123607; ATD4; THM1; FAP60; FLA17; SRTD4; IFT139; JBTS11; NPHP12; IFT139B; Nbla10696"
"Joubert Syndrome","JBTS12","200990","21633164",374654,"KIF7","611254","Cilia, Axoneme","19666503, 19592253","KIF7;KIF7;ENSG00000166813; ACLS; AGBK; HLS2; JBTS12; UNQ340"
"Joubert Syndrome","JBTS13","614173","21725307",79600,"TCTN1","609863","Transition Zone","21725307","TCTN1;TCTN1;ENSG00000204852; TECT1; JBTS13"
"Joubert Syndrome","JBTS14","614424","22152675",65062,"TMEM237","614423","Transition Zone","22152675","TMEM237;TMEM237;ENSG00000155755; JBTS14; ALS2CR4"
"Joubert Syndrome","JBTS15","614464","22246503",95681,"CEP41","610523","Cilia, Basal Body","22246503","CEP41;CEP41;ENSG00000106477; JBTS15; TSGA14"
"Joubert Syndrome","JBTS16","614465","22282472",51524,"TMEM138","614459","Cilia, Axoneme","22282472","TMEM138;TMEM138;ENSG00000149483; HSPC196"
"Joubert Syndrome","JBTS17","614615","22425360",65250,"CPLANE1","614571","Cilia, Basal Body","27158779","CPLANE1;CPLANE1;ENSG00000197603; Hug; OFD6; JBTS17; C5orf42"
"Joubert Syndrome","JBTS18","614815","22883145",26123,"TCTN3","613847","Transition Zone","21725307","TCTN3;TCTN3;ENSG00000119977; OFD4; TECT3; JBTS18; C10orf61"
"Joubert Syndrome","JBTS19","614844","22863007",23090,"ZNF423","604557","Nucleoplasm","25613900","ZNF423;ZNF423;ENSG00000102935; OAZ; Roaz; hOAZ; Ebfaz; JBTS19; NPHP14; ZFP423; Zfp104"
"Joubert Syndrome","JBTS20","614970","23012439",79583,"TMEM231","614949","Basal Body, Transition Zone","22179047","TMEM231;TMEM231;ENSG00000205084; MKS11; JBTS20; ALYE870; PRO1886"
"Joubert Syndrome","JBTS21","615636","24360807",79848,"CSPP1","611654","Axoneme, Basal Body","20519441","CSPP1;CSPP1;ENSG00000104218; CSPP; CSPP-L; JBTS21"
"Joubert Syndrome","JBTS22","615665","24166846, 30423442",5147,"PDE6D","602676","Basal Body","24166846","PDE6D;PDE6D;ENSG00000156973; PDED; JBTS22"
"Joubert Syndrome","JBTS23","616490","26096313",9786,"KIAA0586","610178","Basal Body","26386247","KIAA0586;KIAA0586;ENSG00000100578; JBTS23; SRTD14; Talpid3"
"Joubert Syndrome","JBTS24","616654","25118024",79867,"TCTN2","613846","Transition Zone","21725307","TCTN2;TCTN2;ENSG00000168778; MKS8; TECT2; JBTS24; C12orf38"
"Joubert Syndrome","JBTS25","616781","26477546",9731,"CEP104","616690","Cilia","23970417","CEP104;CEP104;ENSG00000116198; GlyBP; ROC22; JBTS25; CFAP256; KIAA0562"
"Joubert Syndrome","JBTS26","616784","26714646",23247,"KATNIP","616650","Basal Body","26714646","KATNIP;KATNIP;ENSG00000047578; JBTS26; KIAA0556"
"Joubert Syndrome","JBTS27","617120","24886560",27077,"B9D1","614144","Transition Zone","18337471","B9D1;B9D1;ENSG00000108641; B9; MKS9; EPPB9; MKSR1; JBTS27; MKSR-1"
