Gene_name	interaction_scores	phylogenetic_scores	motif_score	pa_score	single_cell_score	total_score_sums	total_score_weighted
ABCA4	0.476002717093406	0	0	0	0.408120228530558	0.884122945623964	0.706414132508293
ABCA5	0	0	0	0	0.50466093854506	0.50466093854506	0.499110532870718
ABCA6	0.375059457121195	0	0	0	0	0.375059457121195	0.238573113592252
ABCA7	0.500284020788992	0	0	0.5	0	1.00028402078899	0.343546905208407
ABCA8	0.549309530795625	0	0	0	0	0.549309530795625	0.349412560061016
ABCA9	0	0	0	0	0	0	0
ABCA10	0	0	0	0	0	0	0
ABCA11P	0	0	0	0	0	0	0
ABCA12	0.46618316553065	0	0	0	0	0.46618316553065	0.296536368283071
ABCA13	0.539138840616028	0	0.29000223635399	0.75	0.612658963795535	2.19180004076555	1.01733608233121
ABCA17P	0	0	0	0	0	0	0
ABCB1	0.655868544975046	0	0	0	0.245477465988933	0.901346010963979	0.659971756367635
ABCB4	0.498725519944114	0	0	0	0	0.498725519944114	0.317236368426073
ABCB5	0.423229196950673	0	0	0	0	0.423229196950673	0.269213601637149
ABCB6	0.231180198218268	0	0	0	0	0.231180198218268	0.147052363678925
ABCB7	0.45309285520947	0	0	0.5	0	0.95309285520947	0.313528882485369
ABCB8	0	0	0	0	0.0741505887207283	0.0741505887207283	0.073335059289071
ABCB9	0	0	0	0	0	0	0
ABCB10	0.242279351963108	0	0	0	0	0.242279351963108	0.154112470061711
ABCB10P1	0	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0
ABCC1	0.538081503833699	0	0.29000223635399	0	0	0.828083740187689	0.372763976397395
ABCC2	0.515682459004167	0	0	0	0	0.515682459004167	0.328022577577022
ABCC3	0.528372747738751	0	0	0	0.381576530103592	0.909949277842343	0.713474637601718
ABCC4	0.473859692684699	0	0	0.5	0.347308106907159	1.32116779959186	0.670226858382248
ABCC5	0.533104672523712	0	0.29000223635399	0	0.479369892439541	1.30247680131724	0.843695888228381
ABCC6	0	0	0	0	0.240523231969898	0.240523231969898	0.237877888513387
ABCC6P1	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0
ABCC8	0.426277119507425	0	0	0	0	0.426277119507425	0.271152367239631
ABCC9	0	0	0	0	0	0	0
ABCC10	0.334589909855619	0	0	0	0	0.334589909855619	0.212830672724544
ABCC11	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0
ABCD1	0.393722020805355	0	0	0	0.250798499529857	0.644520520335212	0.498484406264732
ABCD1P1	0	0	0	0	0	0	0
ABCD1P2	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0
ABCD3	0.465185747513486	0	0	0.5	0.434213631398921	1.39939937891241	0.750659125521725
ABCD4	0.258276143709885	0	0	0	0	0.258276143709885	0.164287935156789
ABCE1	0.659483828445149	0	0	0	0	0.659483828445149	0.419493782461956
ABCF1	0.616854509713186	0	0	0	0.0792647751281169	0.696119284841303	0.47077052208217
ABCF2	0.5478817427142	0	0.29000223635399	0	0	0.83788397906819	0.378997850678596
ABCF2P1	0	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0	0
ABCF3	0.585024957818804	0	0	0	0.0680135650318619	0.653038522850666	0.439396465364777
ABCG1	0.394189881934096	0	0	1.5	0	1.8941898819341	0.326699414938729
ABCG2	0.741146330627643	0	0.29000223635399	0	0	1.03114856698163	0.501932317761597
ABCG4	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0
ABHD2	0	0	0	0	0.580712633235936	0.580712633235936	0.574325789221483
ABHD3	0.421913063597875	0	0	0	0	0.421913063597875	0.268376416956379
ABHD4	0.338189886399162	0	0	0	0.257863138881082	0.596053025280244	0.47014768277689
ABHD5	0.416997396729042	0	0	1.5	0	1.91699739672904	0.341207140886227
ABHD6	0.345669481179642	0	0	0	0.107392800368755	0.453062281548397	0.32608998640846
ABHD8	0.412467622999083	0	0	0.5	0	0.912467622999083	0.287687411340413
ABHD10	0.56040894217057	0	0	0	0.0879588920206776	0.648367834191248	0.443464325231667
ABHD11	0.174786413191554	0	0	0	0.411867850389869	0.586654263581423	0.518518618579701
ABHD12	0.454858315871672	0	0	0	0	0.454858315871672	0.289332698057437
ABHD12B	0	0	0	0	0	0	0
ABHD13	0	0	0	0.5	0	0.5	0.0253191835660931
ABHD14A	0.554841447482371	0	0	0.5	0	1.05484144748237	0.378250563278318
ABHD14B	0.41959044553177	0	0	0	0	0.41959044553177	0.266899013272255
ABHD15	0.634600601615341	0	0	0	0	0.634600601615341	0.40366570830386
ABHD16A	0.27825462729789	0	0	0	0	0.27825462729789	0.176996131001326
ABHD16B	0.498725519944114	0	0	0	0	0.498725519944114	0.317236368426073
ABHD17A	0.56924151094215	0	0	0	0.0869360547391999	0.65617756568135	0.448071082427118
ABHD17AP1	0	0	0	0	0	0	0
ABHD17AP3	0	0	0	0	0	0	0
ABHD17AP4	0	0	0	0	0	0	0
ABHD17AP5	0	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0
ABHD17B	0.552915255748303	0	0.29000223635399	0	0.0869360547391999	0.929853546841493	0.46817954578631
ABHD17C	0.531841810678583	0	0	0	0.12733812735757	0.659179938036153	0.464239072214068
ABHD18	0	0	0	0	0	0	0
ABI1	0.566731887696521	0	0	0	0.318660132567866	0.885392020264387	0.675650235840626
ABI1P1	0	0	0	0	0	0	0
ABI2	0.574966070750995	0	0	0.5	0.542091999523445	1.61705807027444	0.927181634023742
ABI3	0.5109852630365	0	0	0	0	0.5109852630365	0.325034718863205
ABI3BP	0	0	0	0	0	0	0
ABITRAM	0.380231900826572	0	0	0.5	0.26695464647015	1.14718654729672	0.531201060901284
ABITRAMP1	0	0	0	0	0	0	0
ABL1	0.678609142793684	0	0	1.5	0	2.17860914279368	0.507616833072123
ABL2	0.526403164002621	0	0	0	0	0.526403164002621	0.33484195493926
ABLIM1	0.709673424858919	0	0.29000223635399	0	0.415550546805652	1.41522620801856	0.892892790373341
ABLIM2	0.544001787883734	0	0	0	0	0.544001787883734	0.346036336028814
ABLIM3	0.644642748163707	0	0	0	0	0.644642748163707	0.410053458629055
ABO	0	0	0	0	0.397256791496938	0.397256791496938	0.392887647421607
ABR	0.53257478088807	0	0	0	0.0588080294985622	0.591382810386632	0.396928926053985
ABRA	0.506927553257439	0	0	0	0	0.506927553257439	0.322453633550826
ABRACL	0.605557368396942	0	0	0	0	0.605557368396942	0.38519147856204
ABRAXAS1	0.355491131379535	0	0	0.5	0.112185729164576	0.967676860544111	0.362396878660947
ABRAXAS2	0.545946097648535	0	0	0	0	0.545946097648535	0.347273100028679
ABT1	0.505999768160349	0	0	0	0	0.505999768160349	0.32186347491023
ABT1P1	0	0	0	0	0	0	0
ABTB1	0.557032143422993	0	0	0	0	0.557032143422993	0.35432486850864
ABTB2	0.758956151902106	0	0	0.5	0	1.25895615190211	0.508086725622154
ACAA1	0.508648476510382	0	0	1.5	0	2.00864847651038	0.399505853403322
ACAA2	0.505037286566127	0	0	0	0	0.505037286566127	0.321251246031984
ACACA	0.56323323651187	0	0	0	0.090515985224372	0.653749221736242	0.447789811801861
ACACB	0.481229435231899	0	0	0	0	0.481229435231899	0.30610721189845
ACAD	0	0	0	0	0	0	0
ACAD8	0.328849915323908	0	0	0.5	0	0.828849915323908	0.234498679546704
ACAD9	0.378103729959561	0	0	0	0	0.378103729959561	0.240509557630347
ACAD10	0.635612058030552	0	0	0	0	0.635612058030552	0.404309089777539
ACAD11	0.504246419079653	0	0	0	0	0.504246419079653	0.320748179877793
ACADL	0.297579311382957	0	0	0	0	0.297579311382957	0.189288448829407
ACADM	0.482158837633783	0	0	1.5	0.338878957972418	2.3210377956062	0.717807820040874
ACADS	0.454419090670775	0	0	0.25	0	0.704419090670775	0.301712901274867
ACADSB	0.650275614996414	0	0.29000223635399	0	0.0915388225058497	1.03181667385625	0.534662042582542
ACADVL	0.491538565281161	0	0	0.5	0.112506986776143	1.1040455520573	0.449253575106524
ACAN	0.426277119507425	0	0	0	0	0.426277119507425	0.271152367239631
ACAP1	0.577632037701632	0	0	0	0.49080993620635	1.06844197390798	0.85284020786315
ACAP2	0.52170142773652	0	0	0	0	0.52170142773652	0.331851208168326
ACAP3	0.597912204183357	0	0	0	0	0.597912204183357	0.380328434594668
ACAT1	0.542803859860837	0	0	0	0.157124738063877	0.699928597924714	0.500670976214169
ACAT2	0	0	0	0	0	0	0
ACBD3	0.591169988543565	0	0	0	0.352164525821357	0.943334514364922	0.724331070312197
ACBD4	0.58704913187524	0	0	0.5	0	1.08704913187524	0.398737681790625
ACBD5	0.565958847012624	0	0	0	0	0.565958847012624	0.360003092131742
ACBD6	0.366269246333997	0	0	0	0.0833561242540279	0.449625370588025	0.315421061941174
ACBD7	0	0	0	0	0	0	0
ACCS	0.58255418432177	0	0	0	0	0.58255418432177	0.370559288536829
ACCSL	0	0	0	0	0	0	0
ACD	0.590660886389208	0	0	0	0	0.590660886389208	0.375715914017062
ACE	0.51792345462281	0	0	0.5	0	1.01792345462281	0.354767245268726
ACE2	0.643551630839329	0	0	1.5	0	2.14355163083933	0.485316956018109
ACE3P	0	0	0	0	0	0	0
ACER1	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	0	0
ACER2P1	0	0	0	0	0	0	0
ACER3	0.448676504450524	0	0	0.5	0	0.948676504450524	0.310719667756152
ACHE	0.353730840810063	0	0	0	0	0.353730840810063	0.225006106267552
ACIN1	0.647548604500749	0	0	0	0.113018405416882	0.760567009917631	0.523677253340067
ACKR1	0	0	0	0	0	0	0
ACKR2	0.209565780408275	0	0	1.5	0	1.70956578040827	0.209261110400912
ACKR3	0	0	0	0.5	0	0.5	0.0253191835660931
ACKR4	0	0	0	0.5	0.12733812735757	0.62733812735757	0.151256809694693
ACKR4P1	0	0	0	0	0	0	0
ACLS	0	0	0	0	0	0	0
ACLY	0.659013666150395	0	0	0.5	0.333257494485889	1.49227116063628	0.774106131584982
ACMG	0	0	0	0	0	0	0
ACMSD	0.587346830717916	0	0	0	0	0.587346830717916	0.373607862706513
ACNATP	0	0	0	0	0	0	0
ACO1	0.455011756297225	0	0	0	0	0.455011756297225	0.289430300609193
ACO2	0.547002720902028	0	0	0	0	0.547002720902028	0.347945211862399
ACOD1	0.469957355080656	0	0	0	0	0.469957355080656	0.298937108046157
ACOT1	0.293473670989748	0	0	0	0	0.293473670989748	0.186676875135422
ACOT2	0.186527061403825	0	0	0	0	0.186527061403825	0.118648766118019
ACOT4	0	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0	0
ACOT7	0.389456113723749	0	0	0.5	0	0.889456113723749	0.273049925704371
ACOT8	0.262779835878046	0	0	0	0.345881391045589	0.608661226923635	0.509229995594754
ACOT9	0.590827011855957	0	0	0	0	0.590827011855957	0.375821585448876
ACOT11	0.502126776392507	0	0	0	0	0.502126776392507	0.319399887637792
ACOT12	0	0	0	0	0	0	0
ACOT13	0.453165490862386	0	0	0.5	0	0.953165490862386	0.313575085596756
ACOX1	0.578906047867568	0	0	0	0	0.578906047867568	0.36823873040621
ACOX2	0.625578353655234	0	0	0	0	0.625578353655234	0.39792670946894
ACOX3	0	0	0	0	0	0	0
ACOXL	0.41959044553177	0	0	0	0	0.41959044553177	0.266899013272255
ACP1	0.615854506931287	0	0	0	0.147283454346386	0.763137961277673	0.537405016482409
ACP2	0.348208703596053	0	0	0	0.203248539668563	0.551457243264616	0.422506661245
ACP3	0.50796009734123	0	0	0	0	0.50796009734123	0.323110428766395
ACP4	0	0	0	0	0.340479551404322	0.340479551404322	0.336734859691981
ACP5	0	0	0	0	0	0	0
ACP6	0.289081500639174	0	0	0	0	0.289081500639174	0.183883041421677
ACP7	0	0	0	0	0	0	0
ACR	0.448676504450524	0	0	0	0	0.448676504450524	0.285400484190059
ACRBP	0.504415294494835	0	0	0	0	0.504415294494835	0.320855600535623
ACRP1	0	0	0	0	0	0	0
ACRV1	0.50127587655766	0	0	0	0	0.50127587655766	0.318858635260069
ACSBG1	0.610193092002738	0	0	0	0	0.610193092002738	0.388140235068213
ACSBG2	0	0	0	0	0	0	0
ACSF2	0.529672991499582	0	0	0	0	0.529672991499582	0.336921872968383
ACSF3	0.382255090141768	0	0	0	0	0.382255090141768	0.24315021341307
ACSL1	0.357976885718901	0	0	0	0	0.357976885718901	0.227706990447702
ACSL3	0.685231230107465	0	0	0	0	0.685231230107465	0.43587155314567
ACSL4	0.579509117073228	0	0.29000223635399	0	0	0.869511353427218	0.399115837393281
ACSL5	0.4166943863318	0	0	0.5	0	0.9166943863318	0.290376030623457
ACSL6	0.407143255167761	0	0	0	0	0.407143255167761	0.2589814287287
ACSM1	0	0	0	0	0	0	0
ACSM2A	0	0	0	0	0	0	0
ACSM2B	0.498725519944114	0	0	0	0	0.498725519944114	0.317236368426073
ACSM3	0	0	0.29000223635399	0	0	0.29000223635399	0.030493498214184
ACSM4	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0
ACSM5P1	0	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0	0
ACSS1	0.315845059310043	0	0	0.5	0.187280705497917	1.00312576480796	0.411447305775619
ACSS2	0	0	0	0	0	0	0
ACSS3	0	0	0	0	0	0	0
ACTA1	0.65264931941026	0	0	0	0	0.65264931941026	0.415146391483355
ACTA2	0.581644604555624	0	0	1.5	0	2.08164460455562	0.445938260898395
ACTB	0.717860172241555	0	0	0	0	0.717860172241555	0.456626631228225
ACTBL2	0.660026979968662	0	0	0	0	0.660026979968662	0.419839277949822
ACTBP1	0	0	0	0	0	0	0
ACTBP2	0	0	0	0	0	0	0
ACTBP3	0	0	0	0	0	0	0
ACTBP4	0	0	0	0	0	0	0
ACTBP5	0	0	0	0	0	0	0
ACTBP6	0	0	0	0	0	0	0
ACTBP7	0	0	0	0	0	0	0
ACTBP8	0	0	0	0	0	0	0
ACTBP9	0	0	0	0	0	0	0
ACTBP10	0	0	0	0	0	0	0
ACTBP11	0	0	0	0	0	0	0
ACTBP12	0	0	0	0	0	0	0
ACTBP14	0	0	0	0	0	0	0
ACTBP15	0	0	0	0	0	0	0
ACTC1	0.607375663029082	0	0	0	0	0.607375663029082	0.38634808507757
ACTE1P	0	0	0	0	0	0	0
ACTG1	0.726504966998769	0	0	0	0	0.726504966998769	0.462125534301953
ACTG1P1	0	0	0	0	0	0	0
ACTG1P2	0	0	0	0	0	0	0
ACTG1P3	0	0	0	0	0	0	0
ACTG1P4	0	0	0	0	0	0	0
ACTG1P6	0	0	0	0	0	0	0
ACTG1P7	0	0	0	0	0	0	0
ACTG1P8	0	0	0	0	0	0	0
ACTG1P9	0	0	0	0	0	0	0
ACTG1P10	0	0	0	0	0	0	0
ACTG1P11	0	0	0	0	0	0	0
ACTG1P12	0	0	0	0	0	0	0
ACTG1P13	0	0	0	0	0	0	0
ACTG1P14	0	0	0	0	0	0	0
ACTG1P15	0	0	0	0	0	0	0
ACTG1P16	0	0	0	0	0	0	0
ACTG1P17	0	0	0	0	0	0	0
ACTG1P18	0	0	0	0	0	0	0
ACTG1P19	0	0	0	0	0	0	0
ACTG1P20	0	0	0	0	0	0	0
ACTG1P21	0	0	0	0	0	0	0
ACTG1P22	0	0	0	0	0	0	0
ACTG1P23	0	0	0	0	0	0	0
ACTG1P24	0	0	0	0	0	0	0
ACTG1P25	0	0	0	0	0	0	0
ACTG2	0.610879947410994	0	0	0	0	0.610879947410994	0.388577139751521
ACTL4	0	0	0	0	0	0	0
ACTL5	0	0	0	0	0	0	0
ACTL6A	0.680315846326808	0	0	0.5	0.117621173183532	1.29793701951034	0.574391631816203
ACTL6B	0.658431283165778	0	0	0	0	0.658431283165778	0.418824264603578
ACTL7A	0	0	0	0	0	0	0
ACTL7B	0.52426732821474	0	0	0	0	0.52426732821474	0.333483362363171
ACTL8	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0
ACTL11P	0	0	0	0	0	0	0
ACTN1	0.697864629320763	0	0	0	0	0.697864629320763	0.44390758404249
ACTN2	0.70308225336201	0	0.206012245631511	0	0	0.909094498993521	0.468888503302842
ACTN3	0.538815334282976	0	0	0	0	0.538815334282976	0.342737263413683
ACTN4	0.676803939031661	0	0	0	0.372278659076704	1.04908259810836	0.798695234546025
ACTN4P1	0	0	0	0	0	0	0
ACTN4P2	0	0	0	0	0	0	0
ACTP1	0	0	0	0	0	0	0
ACTR1A	0.627540937700922	0	0	0	0	0.627540937700922	0.399175097631341
ACTR1AP1	0	0	0	0	0	0	0
ACTR1B	0.617119857585453	0	0	0	0.0931376858336556	0.710257543419109	0.48465964075887
ACTR2	0.70497235748049	0	0	0	0.0547166803726513	0.759689037853141	0.502543658734776
ACTR3	0.707438806714994	0	0.206012245631511	0	0.0460225634800905	0.959473615826596	0.517176075387563
ACTR3B	0.610772583184486	0	0	0	0	0.610772583184486	0.388508845998837
ACTR3BP1	0	0	0	0	0	0	0
ACTR3BP2	0	0	0	0	0	0	0
ACTR3BP3	0	0	0	0	0	0	0
ACTR3BP4	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0
ACTR3BP6	0	0	0	0	0	0	0
ACTR3BP7	0	0	0	0	0	0	0
ACTR3C	0	0	0	0	0	0	0
ACTR3P1	0	0	0	0	0	0	0
ACTR3P2	0	0	0	0	0	0	0
ACTR3P3	0	0	0	0	0	0	0
ACTR5	0.6572714982274	0	0	0	0	0.6572714982274	0.41808653222917
ACTR6	0.701493369139501	0	0	0	0.176027138828756	0.877520507968257	0.620306945981276
ACTR6P1	0	0	0	0	0	0	0
ACTR8	0.698650960226904	0	0	0.25	0	0.948650960226904	0.457067356287674
ACTR10	0.505928018558017	0	0	0	0.0976758461947162	0.603603864752733	0.41841941464773
ACTRT1	0.557612036626337	0	0	0	0	0.557612036626337	0.354693735162836
ACTRT1P1	0	0	0	0	0	0	0
ACTRT2	0.457116763800055	0	0	0	0	0.457116763800055	0.290769283494573
ACTRT3	0.600335043710953	0	0	0	0	0.600335043710953	0.381869588560681
ACVR1	0.659736541991538	0	0.29000223635399	0	0.101767195320627	1.05150597366615	0.550795960808548
ACVR1B	0.609659056822031	0	0	0	0.346947103431169	0.9566061602532	0.730931818159929
ACVR1C	0.599239034856434	0	0	0	0	0.599239034856434	0.381172423777917
ACVR2A	0.387720674279439	0	0	0	0	0.387720674279439	0.246626839320154
ACVR2B	0.607191818090859	0	0	0	0.368149299032648	0.975341117123507	0.75033142989797
ACVRL1	0.491305712385456	0	0	0	0	0.491305712385456	0.312516672500761
ACY1	0.498436535012181	0	0	0	0	0.498436535012181	0.317052546811437
ACY3	0.286491156956461	0	0	0	0	0.286491156956461	0.182235339048293
ACYP1	0.569731573890865	1	0	0.5	0.631191915824218	2.70092348971508	0.934204910656964
ACYP2	0	1	0	0	0.113529824057621	1.11352982405762	0.0345141299108883
AD5	0	0	0	0	0	0	0
ADA	0.409673724928864	0	0	0	0	0.409673724928864	0.260591045652883
ADA2	0.443478685586222	0	0	0.5	0	0.943478685586222	0.30741336576376
ADAD1	0.407143255167761	0	0	0	0	0.407143255167761	0.2589814287287
ADAD1P1	0	0	0	0	0	0	0
ADAD1P2	0	0	0	0	0	0	0
ADAD2	0.46618316553065	0	0	0	0	0.46618316553065	0.296536368283071
ADAL	0.400390467631477	0	0	0	0	0.400390467631477	0.254686020314461
ADAM1A	0	0	0	0	0	0	0
ADAM1B	0	0	0	0	0	0	0
ADAM2	0	0	0	0	0	0	0
ADAM3A	0	0	0	0	0	0	0
ADAM3B	0	0	0	0	0	0	0
ADAM5	0.440768628223223	0	0	0	0	0.440768628223223	0.280370330656722
ADAM6	0	0	0	0	0	0	0
ADAM7	0.302753091260459	0	0	1	0	1.30275309126046	0.243217826895941
ADAM8	0.397822703781297	0	0	0	0	0.397822703781297	0.253052680839677
ADAM9	0.471649878023778	0	0.29000223635399	0	0.160384528555959	0.922036642933727	0.489127783677733
ADAM10	0.519262111017672	0	0	0	0	0.519262111017672	0.33029957315792
ADAM11	0.508148612135738	0	0	0	0	0.508148612135738	0.323230341917844
ADAM12	0.33525921231608	0	0	0	0	0.33525921231608	0.213256412081052
ADAM15	0.558386248835271	0	0	0	0	0.558386248835271	0.355186206992994
ADAM17	0.638201808677006	0	0	0	0	0.638201808677006	0.405956414924048
ADAM18	0	0	0	0	0	0	0
ADAM19	0.406472004908342	0	0	0	0	0.406472004908342	0.258554450388736
ADAM20	0	0	0	0	0	0	0
ADAM20P1	0	0	0	0	0	0	0
ADAM20P2	0	0	0	0	0	0	0
ADAM20P3	0	0	0	0	0	0	0
ADAM21	0	0	0	0	0	0	0
ADAM21P1	0	0	0	0	0	0	0
ADAM22	0.264990362171372	0	0	0	0	0.264990362171372	0.168558810009514
ADAM23	0.381478013210059	0	0	0	0	0.381478013210059	0.242655919349612
ADAM24P	0	0	0	0	0	0	0
ADAM28	0	0	0	0.5	0	0.5	0.0253191835660931
ADAM29	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0
ADAM32	0.327646330192591	0	0	0	0	0.327646330192591	0.208413902561222
ADAM33	0.629416311018418	0	0	0.5	0	1.12941631101842	0.425687195128833
ADAMDEC1	0	0	0	0	0	0	0
ADAMTS1	0.215900691380657	0	0	0	0	0.215900691380657	0.137333159293619
ADAMTS2	0.549194413044955	0	0	0	0	0.549194413044955	0.349339334337239
ADAMTS3	0	0	0	0	0	0	0
ADAMTS4	0.630768212116083	0	0	0	0	0.630768212116083	0.40122794789554
ADAMTS5	0.397587706952088	0	0	1.5	0	1.89758770695209	0.328860751437764
ADAMTS6	0.476002717093406	0	0	0	0	0.476002717093406	0.302782527247807
ADAMTS7	0.394235851020109	0	0	0	0	0.394235851020109	0.250771104905552
ADAMTS7P1	0	0	0	0	0	0	0
ADAMTS7P3	0	0	0	0	0	0	0
ADAMTS7P4	0	0	0	0	0	0	0
ADAMTS8	0	0	0	0.5	0	0.5	0.0253191835660931
ADAMTS9	0.352031049834542	0	0	0	0	0.352031049834542	0.223924879230648
ADAMTS10	0	0	0	0	0	0	0
ADAMTS12	0.269510586961833	0	0.340260480708051	0	0	0.609771067669884	0.207212209944801
ADAMTS13	0.476983260635729	0	0	1.5	0	1.97698326063573	0.379363795923231
ADAMTS14	0	0	0	0	0	0	0
ADAMTS15	0.448676504450524	0	0	0	0	0.448676504450524	0.285400484190059
ADAMTS16	0	0	0	0	0	0	0
ADAMTS17	0.608151808240229	0	0	0	0	0.608151808240229	0.386841786479061
ADAMTS18	0.503224208186819	0	0	0	0	0.503224208186819	0.320097957544185
ADAMTS19	0	0	0	0	0	0	0
ADAMTS20	0.486756923169579	0	0	0	0	0.486756923169579	0.30962321444844
ADAMTSL1	0	0	0	0	0	0	0
ADAMTSL2	0	0	0	0.5	0	0.5	0.0253191835660931
ADAMTSL3	0	0	0	1.5	0	1.5	0.0759575506982793
ADAMTSL4	0.526770205670911	0	0	0	0	0.526770205670911	0.335075427984558
ADAMTSL5	0	0	0	0	0	0	0
ADAP1	0.48257613653244	0	0	0	0	0.48257613653244	0.306963840670898
ADAP2	0.571353290033324	0	0	0	0	0.571353290033324	0.36343446559296
ADAR	0.425846008910415	0	0	0	0.346322310000019	0.772168318910434	0.613391498279482
ADARB1	0.169154047482694	0	0	0	0	0.169154047482694	0.10759789419638
ADARB2	0	0	0	0	0	0	0
ADAT1	0	0	0	0.5	0	0.5	0.0253191835660931
ADAT2	0.352031049834542	0	0	0	0	0.352031049834542	0.223924879230648
ADAT3	0.592877915718431	0	0	0	0	0.592877915718431	0.377126153327005
ADCK1	0.566602853721646	0	0	0	0	0.566602853721646	0.360412741009616
ADCK2	0.419189669730715	0	0	0.75	0	1.16918966973071	0.304622857492757
ADCK5	0.281440950159246	0	0	0	0	0.281440950159246	0.179022932223134
ADCP1	0	0	0	0	0	0	0
ADCY1	0.479081590680524	0	0	1.5	0	1.97908159068052	0.38069853131685
ADCY2	0.435576751772943	0	0	0	0	0.435576751772943	0.277067808598921
ADCY3	0.584407320255542	0	0	0	0	0.584407320255542	0.3717380573993
ADCY4	0.605701710131581	0	0	0	0	0.605701710131581	0.385283293490047
ADCY5	0.613583900424892	0	0	1.5	0	2.11358390042489	0.466254659050204
ADCY6	0.542811521236495	0	0	0	0.337955465942299	0.880766987178794	0.679517749264227
ADCY7	0	0	0	0	0	0	0
